11/21/2014	2057.46	2071.46	2056.75	2063.5	3916420000	2063.5	4751.01	4751.6	4700.73	4712.97	1854340000	4712.97
11/20/2014	2045.87	2053.84	2040.49	2052.75	3128290000	2052.75	4655.2	4702.97	4653.33	4701.87	1667330000	4701.87
11/19/2014	2051.16	2052.14	2040.37	2048.72	3390850000	2048.72	4694.78	4696.2	4655.72	4675.71	1641560000	4675.71
11/18/2014	2041.48	2056.08	2041.48	2051.8	3416190000	2051.8	4674.84	4709.83	4674.3	4702.44	1655760000	4702.44
11/17/2014	2038.29	2043.07	2034.46	2041.32	3152890000	2041.32	4678.44	4689.53	4655.2	4671	1695070000	4671
11/14/2014	2039.74	2042.22	2035.2	2039.82	3227130000	2039.82	4679.85	4688.74	4664.31	4688.54	1739950000	4688.54
11/13/2014	2039.21	2046.18	2030.44	2039.33	3455270000	2039.33	4681.56	4703.1	4664.27	4680.14	1857580000	4680.14
11/12/2014	2037.75	2040.33	2031.95	2038.25	3246650000	2038.25	4644.63	4678.58	4643.78	4675.14	1773060000	4675.14
11/11/2014	2038.2	2041.28	2035.28	2039.68	2958320000	2039.68	4649.19	4661.23	4640.24	4660.56	1663690000	4660.56
11/10/2014	2032.01	2038.7	2030.17	2038.26	3284940000	2038.26	4635.1	4653.38	4626.49	4651.62	1830010000	4651.62
11/7/2014	2032.36	2034.26	2025.07	2031.92	3704280000	2031.92	4636.89	4638.8	4606.81	4632.53	1978830000	4632.53
11/6/2014	2023.33	2031.61	2015.86	2031.21	3669770000	2031.21	4616.78	4639.17	4604.76	4638.47	1986820000	4638.47
11/5/2014	2015.29	2023.77	2014.42	2023.57	3766590000	2023.57	4649.47	4650.39	4607.73	4620.72	2001870000	4620.72
11/4/2014	2015.81	2015.98	2001.01	2012.1	3956260000	2012.1	4623.77	4635.95	4594.92	4623.64	1939320000	4623.64
11/3/2014	2018.21	2024.46	2013.68	2017.81	3555440000	2017.81	4633.71	4654.19	4627.42	4638.91	2033000000	4638.91
10/31/2014	2001.2	2018.19	2001.2	2018.05	4292290000	2018.05	4639.45	4641.51	4616.58	4630.74	2424360000	4630.74
10/30/2014	1979.49	1999.4	1974.75	1994.65	3586150000	1994.65	4532.1	4575.5	4521.79	4566.14	2034960000	4566.14
10/29/2014	1983.29	1991.4	1969.04	1982.3	3740350000	1982.3	4551.37	4564.44	4517.02	4549.23	2184050000	4549.23
10/28/2014	1964.14	1985.05	1964.14	1985.05	3653260000	1985.05	4505.73	4564.29	4505.11	4564.29	1966920000	4564.29
10/27/2014	1962.97	1964.64	1951.37	1961.63	3538860000	1961.63	4469.02	4489.6	4450.29	4485.93	1585580000	4485.93
