12/30/2011,69.29,1257.6
12/29/2011,69.3,1263.02
12/28/2011,69.2,1249.64
12/27/2011,70.6,1265.43
12/23/2011,72.62,1265.33
12/22/2011,73.84,1254
12/21/2011,70.97,1243.72
12/20/2011,71.4,1241.3
12/19/2011,67.15,1205.35
12/16/2011,69.82,1219.66
12/15/2011,69.72,1215.75
12/14/2011,71.04,1211.82
12/13/2011,72.11,1225.73
12/12/2011,75.26,1236.47
12/9/2011,70.89,1255.19
12/8/2011,69.42,1234.35
12/7/2011,71.96,1261.01
12/6/2011,68.14,1258.47
12/5/2011,70.12,1257.08
12/2/2011,66.37,1244.28
12/1/2011,67.17,1244.58
11/30/2011,64.53,1246.96
11/29/2011,67.57,1195.19
11/28/2011,69.95,1192.55
11/25/2011,63.86,1158.67
11/23/2011,68.5,1161.79
11/22/2011,70.45,1188.04
11/21/2011,74.47,1192.98
11/18/2011,78.06,1215.65
11/17/2011,76.46,1216.13
11/16/2011,81.18,1236.91
11/15/2011,86.28,1257.81
11/14/2011,85.72,1251.78
11/11/2011,87.75,1263.85
11/10/2011,85.12,1239.7
11/9/2011,88.05,1229.1
11/8/2011,90.47,1275.92
11/7/2011,90.83,1261.12
11/4/2011,90.02,1253.23
11/3/2011,92.29,1261.15
11/2/2011,83.39,1237.9
11/1/2011,80.09,1218.28
10/31/2011,82.08,1253.3
10/28/2011,84.14,1285.09
10/27/2011,80.86,1284.59
10/26/2011,79.4,1242
10/25/2011,77.37,1229.05
10/24/2011,118.84,1254.19
10/21/2011,117.04,1238.25
10/20/2011,111.48,1215.39
10/19/2011,109.42,1209.88
10/18/2011,111.74,1225.38
10/17/2011,117.33,1200.86
10/14/2011,116.04,1224.58
10/13/2011,117.01,1203.66
10/12/2011,113.62,1207.25
10/11/2011,108.66,1195.54
10/10/2011,111.62,1194.89
10/7/2011,117.21,1155.46
10/6/2011,123.24,1164.97
10/5/2011,119.76,1144.03
10/4/2011,114.9,1123.95
10/3/2011,113.25,1099.23
9/30/2011,113.27,1131.42
9/29/2011,113.19,1160.4
9/28/2011,127.14,1151.06
9/27/2011,127.49,1175.38
9/26/2011,132.22,1162.95
9/23/2011,129.36,1136.43
9/22/2011,128.53,1129.56
9/21/2011,128.5,1166.76
9/20/2011,130.03,1202.09
9/19/2011,143.75,1204.09
9/16/2011,155.19,1216.01
9/15/2011,169.25,1209.11
9/14/2011,208.71,1188.68
9/13/2011,208.75,1172.87
9/12/2011,210.05,1162.27
9/9/2011,203.97,1154.23
9/8/2011,211.2,1185.9
9/7/2011,216,1198.62
9/6/2011,218.77,1165.24
9/2/2011,213.11,1173.97
9/1/2011,233.27,1204.42
8/31/2011,235.01,1218.89
8/30/2011,236.28,1212.92
8/29/2011,225.04,1210.08
8/26/2011,221.89,1176.8
8/25/2011,215.83,1159.27
8/24/2011,216.03,1177.6
8/23/2011,219.54,1162.35
8/22/2011,205.21,1123.82
8/19/2011,205.21,1123.53
8/18/2011,217.48,1140.65
8/17/2011,232.24,1193.89
8/16/2011,239.04,1192.76
8/15/2011,246.28,1204.49
8/12/2011,244,1178.81
8/11/2011,243.13,1172.64
8/10/2011,232.42,1120.76
8/9/2011,237.8,1172.53
8/8/2011,226.64,1119.46
8/5/2011,241.11,1199.38
8/4/2011,245.77,1200.07
8/3/2011,260,1260.34
