10/1/2014	1391	1158	1201
10/2/2014	1379	1439	1015
10/3/2014	1026	1288	1282
10/4/2014	1497	1063	1089
10/5/2014	1153	1107	1051
10/6/2014	1367	1351	1037
10/7/2014	1243	1079	1139
10/8/2014	1445	1187	1174
10/9/2014	1495	1095	1192
10/10/2014	1031	1441	1277
10/11/2014	1061	1312	1122
10/12/2014	1231	1382	1437
10/13/2014	1069	1018	1180
10/14/2014	1309	1358	1425
10/15/2014	1161	1376	1017
10/16/2014	1250	1401	1198
10/17/2014	1235	1341	1114
10/18/2014	1345	1089	1158
10/19/2014	1487	1110	1382
10/20/2014	1308	1165	1453
10/21/2014	1326	1058	1140
10/22/2014	1021	1176	1085
10/23/2014	1219	1190	1233
10/24/2014	1345	1057	1300
10/25/2014	1283	1491	1273
10/26/2014	1435	1483	1298
10/27/2014	1097	1102	1022
10/28/2014	1222	1218	1485
10/29/2014	1270	1108	1180
10/30/2014	1339	1372	1499
10/31/2014	1435	1181	1235
